Ticker,Name,Volume,Price,Change,Date
MULTITREX,Multi-Trex Integrated Foods,369090.0,0.36,,2023-03-08
MULTIVERSE,Multiverse Mining & Exploration,20000.0,3.57,0.0,2023-03-08
NAHCO,Nigerian Aviation Handling Co.,2772.0,8.55,0.0,2023-03-08
NASCON,National Salt Company,224.0,12.2,0.0,2023-03-08
NB,Nigerian Breweries,873803.0,40.85,0.0,2023-03-08
NCR,NCR Nigeria,369090.0,2.92,,2023-03-08
NEIMETH,Neimeth International Pharma,1018.0,1.58,0.0,2023-03-08
NEM,N.E.M. Insurance Company,59839.0,4.1,0.0,2023-03-08
NESF,Nigeria Energy Sector Fund,369090.0,552.2,,2023-03-08
NESTLE,Nestle Nigeria,24030.0,1080.3,0.0,2023-03-08
NGXGROUP,Nigerian Exchange Group,199900.0,28.0,1.5,2023-03-08
NIGERINS,Niger Insurance Company,369090.0,0.2,,2023-03-08
NNFM,Northern Nigeria Flour Mills,45212.0,11.0,0.0,2023-03-08
NOTORE,Notore Chemical Industries Plc,369090.0,62.5,,2023-03-08
NPFMCRFBK,NPF Microfinance Bank,369090.0,1.89,,2023-03-08
NSLTECH,Secure Electronic Technology,369090.0,0.24,,2023-03-08
OANDO,Oando Plc,25498.0,4.48,0.0,2023-03-08
OKOMUOIL,Okomu Oil Palm,39775.0,183.5,0.0,2023-03-08
OMATEK,Omatek Ventures,275000.0,0.2,0.0,2023-03-08
PHARMDEKO,Pharma-Deko Plc,369090.0,1.89,,2023-03-08
PREMPAINTS,Premier Paints,369090.0,10.0,,2023-03-08
PRESCO,Presco Plc,185678.0,150.8,0.0,2023-03-08
PRESTIGE,Prestige Assurance Company,369090.0,0.45,,2023-03-08
PZ,PZ Cussons Nigeria,411754.0,10.75,0.0,2023-03-08
RAKUNITY,RAK Unity Petroleum Company,369090.0,0.3,,2023-03-08
REDSTAREX,Red Star Express Plc,369090.0,2.77,,2023-03-08
REGALINS,Regency Alliance Insurance,369090.0,0.3,,2023-03-08
RESORTSAL,Resort Savings & Loans,369090.0,0.2,,2023-03-08
RONCHESS,Ronchess Global Resources,369090.0,81.0,,2023-03-08
ROYALEX,Royal Exchange,369090.0,0.75,,2023-03-08
RTBRISCOE,RT Briscoe,44608.0,0.26,0.0,2023-03-08
SCOA,SCOA Nigeria,369090.0,1.0,,2023-03-08
SEPLAT,Seplat Petroleum Development Co.,463.0,1200.0,0.0,2023-03-08
SFSREIT,Skye Shelter Fund Plc,1000.0,77.0,0.0,2023-03-08
SKYAVN,Skyway Aviation Handling Co. Plc,369090.0,5.0,,2023-03-08
SMURFIT,Smart Products Nigeria,369090.0,0.22,,2023-03-08
SOVRENINS,Sovereign Trust Insurance,104850.0,0.29,0.01,2023-03-08
STACO,Standard Trust Assurance,369090.0,0.48,,2023-03-08
STANBIC,Stanbic IBTC Holdings,3184.0,41.0,0.0,2023-03-08
STDINSURE,Standard Alliance Insurance,369090.0,0.2,,2023-03-08
STERLNBANK,Sterling Bank,2820073.0,1.5,0.0,2023-03-08
SUNUASSUR,Sunu Assurances Nigeria Plc,369090.0,0.44,,2023-03-08
TANTALIZER,Tantalizers Plc,369090.0,0.2,,2023-03-08
THOMASWY,Thomas Wyatt Nigeria,369090.0,1.3,,2023-03-08
TIP,The Initiates Plc,369090.0,0.52,,2023-03-08
TOTAL,Total Nigeria,967.0,218.8,0.0,2023-03-08
TOURIST,Tourist Company of Nigeria,369090.0,2.84,,2023-03-08
TRANSCOHOT,Transcorp Hotels Plc,400.0,6.5,0.0,2023-03-08
TRANSCORP,Transcorp Nigeria,26619.0,1.27,0.0,2023-03-08
TRANSEXPR,Trans-Nationwide Express,30.0,0.81,0.0,2023-03-08
TRIPPLEG,Tripple Gee & Co. Plc,76.0,2.62,0.0,2023-03-08
UACN,UAC of Nigeria,135990.0,9.2,0.0,2023-03-08
UBA,United Bank for Africa,6509952.0,8.5,-0.05,2023-03-08
UBN,Union Bank Nigeria,26042.0,6.6,0.0,2023-03-08
UCAP,United Capital Plc,1692904.0,14.85,-0.05,2023-03-08
UHOMREIT,Union Homes Real Estate Inv.,369090.0,36.6,,2023-03-08
UNHOMES,Union Homes Savings & Loans,369090.0,3.02,,2023-03-08
UNILEVER,Unilever Nigeria,8205.0,13.8,0.0,2023-03-08
UNIONDICON,Union Dicon Salt,369090.0,8.95,,2023-03-08
UNITYBNK,Unity Bank,230350.0,0.57,0.03,2023-03-08
UNIVINSURE,Universal Insurance Company,247705.0,0.2,0.0,2023-03-08
UPDC,UPDC Plc,175791.0,1.03,-0.02,2023-03-08
UPDCREIT,UPDC Real Estate Investment Trust,22194.0,3.35,0.0,2023-03-08
UPL,University Press,369090.0,2.0,,2023-03-08
VANLEER,Greif Nigeria,369090.0,5.45,,2023-03-08
VERITASKAP,Veritas Kapital Assurance Plc,76285.0,0.2,0.0,2023-03-08
VITAFOAM,Vitafoam Nigeria,140235.0,19.4,0.0,2023-03-08
WAPCO,Lafarge Wapco,91612.0,26.9,0.0,2023-03-08
WAPIC,Wapic Insurance,128633.0,0.42,0.0,2023-03-08
WEMABANK,Wema Bank,2200.0,4.3,0.0,2023-03-08
ZENITHBANK,Zenith Bank Plc,2526638.0,26.0,0.05,2023-03-08
